Date,Ticker,Open,High,Low,Close,Volume
,,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD,SHIB-USD
2023-04-03,SHIB-USD,,,,,494870868
2023-04-04,SHIB-USD,,,,,367245172
2023-04-05,SHIB-USD,,,,,235709799
2023-04-06,SHIB-USD,,,,,207144387
2023-04-07,SHIB-USD,,,,,126884635
2023-04-08,SHIB-USD,,,,,119278323
2023-04-09,SHIB-USD,,,,,125019373
2023-04-10,SHIB-USD,,,,,143685939
2023-04-11,SHIB-USD,,,,,164670494
2023-04-12,SHIB-USD,,,,,167850193
2023-04-13,SHIB-USD,,,,,171023013
2023-04-14,SHIB-USD,,,,,305858265
2023-04-15,SHIB-USD,,,,,231104645
2023-04-16,SHIB-USD,,,,,328660336
2023-04-17,SHIB-USD,,,,,325289622
2023-04-18,SHIB-USD,,,,,212355294
2023-04-19,SHIB-USD,,,,,311293493
2023-04-20,SHIB-USD,,,,,244536626
2023-04-21,SHIB-USD,,,,,200055456
2023-04-22,SHIB-USD,,,,,115556606
2023-04-23,SHIB-USD,,,,,114408560
2023-04-24,SHIB-USD,,,,,133581849
2023-04-25,SHIB-USD,,,,,125929762
2023-04-26,SHIB-USD,,,,,201161823
2023-04-27,SHIB-USD,,,,,119083330
2023-04-28,SHIB-USD,,,,,81673359
2023-04-29,SHIB-USD,,,,,70975569
2023-04-30,SHIB-USD,,,,,86965366
2023-05-01,SHIB-USD,,,,,132257569
2023-05-02,SHIB-USD,,,,,96912219
2023-05-03,SHIB-USD,,,,,107686169
2023-05-04,SHIB-USD,,,,,87126737
2023-05-05,SHIB-USD,,,,,136928125
2023-05-06,SHIB-USD,,,,,177152461
2023-05-07,SHIB-USD,,,,,94172823
2023-05-08,SHIB-USD,,,,,214449628
2023-05-09,SHIB-USD,,,,,125827100
2023-05-10,SHIB-USD,,,,,155909206
2023-05-11,SHIB-USD,,,,,115690524
2023-05-12,SHIB-USD,,,,,134528811
2023-05-13,SHIB-USD,,,,,86060624
2023-05-14,SHIB-USD,,,,,79040227
2023-05-15,SHIB-USD,,,,,98629072
2023-05-16,SHIB-USD,,,,,90714867
2023-05-17,SHIB-USD,,,,,107255997
